"ID";"kraj";"okres";"zriadovatel";"druh_skoly";"jazyk";"typ_skoly";"nazov";"ulica";"obec";"PSC";"Mat_SJ";"Mat_M";"Mat_MJ";"Mat_SJaSL";"Mat_AJB1";"Mat_AJB2";"Mat_AJC1";"Mat_NJB1";"Mat_NJB2";"Mat_NJC1";"T9_SJ";"T9_M";"T9_MJ";"T9_SJaSL";"riad_skoly";"podm_VaV";"VV_proces";"insp_9R_SJ";"insp_4R_Pri";"insp_9r_Fyz";"insp_9R_Pri";"ucasti";"Kom_M";"Kom_SJ";"mimo_vysl";"nezam";"nezam_okres";"prijati_VS";"uspesnost_VS";"poc_ucitelov";"IKT";"kval";"rozpocet";"vlastne_zdroje"
"13";"Bratislavskı";"Bratislava I";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Jelenia 16";"Bratislava - Staré Mesto";"81105";;;;;;;;;;;"18";"18";;;;;;;;;;;;;;;;;;"272";;;;
"14";"Bratislavskı";"Bratislava I";"Cirkev, cirkevné spoloèenstvo";"Gymnázium";"Slovenskı";"Gymnázium";"Gymnázium Matky Alexie";"Jesenského 4/A";"Bratislava - Staré Mesto";"81102";"80";"29";;;;"73";;;"6";;;;;;"2013/14";"2013/14";"2013/14";;;;;;;;;;;;;"452";;;;
"16";"Bratislavskı";"Bratislava I";"Obec";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Základná umelecká škola";"Jesenského 6";"Bratislava - Staré Mesto";"81101";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"572";;;;
"17";"Bratislavskı";"Bratislava I";"Krajskı úrad, Okresnı úrad";"Špeciálna základná škola";"Slovenskı";"Špeciálna základná škola";"Špeciálna ZŠ s MŠ";"Karpatská 1";"Bratislava - Staré Mesto";"81105";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"64";;;;
"18";"Bratislavskı";"Bratislava I";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Mudroòova 83";"Bratislava - Staré Mesto";"81103";;;;;;;;;;;"24";"24";;;"2006/07";"2006/07";"2006/07";;;;;;;;;;;;;"491";;;;
"20";"Bratislavskı";"Bratislava I";"Cirkev, cirkevné spoloèenstvo";"Gymnázium";"Slovenskı";"Gymnázium";"Gymnázium Sv. Uršule";"Nedbalova 6";"Bratislava - Staré Mesto";"81101";"41";"12";;;;"38";;;"3";;;;;;;;;;;;;;;;;;;;;"271";;;;
"21";"Bratislavskı";"Bratislava I";"Cirkev, cirkevné spoloèenstvo";"Základná škola";"Slovenskı";"Základná škola";"ZŠ Matky Alexie";"Palackého 1";"Bratislava - Staré Mesto";"81102";;;;;;;;;;;"33";"33";;;"2010/11";"2010/11";"2010/11";;;;;;;;;;;;;"468";;;;
"22";"Bratislavskı";"Bratislava I";"Cirkev, cirkevné spoloèenstvo";"Základná škola";"Slovenskı";"Základná škola";"Evanjelická ZŠ";"Palisády 57";"Bratislava - Staré Mesto";"81106";;;;;;;;;;;;;;;"2014/15";"2014/15";"2014/15";;;;;;;;;;;;;"129";;;;
"23";"Bratislavskı";"Bratislava I";"Obec";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Základná umelecká škola";"Panenská 11";"Bratislava - Staré Mesto";"81103";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"692";;;;
"24";"Bratislavskı";"Bratislava I";"Obec";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Základná umelecká škola";"Podjavorinskej 9";"Bratislava - Staré Mesto";"81103";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"197";;;;
"25";"Bratislavskı";"Bratislava I";"Súkromník";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Súkromná ZUŠ";"Svoradova 2";"Bratislava - Staré Mesto";"81103";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"294";;;;
"26";"Bratislavskı";"Bratislava I";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola s MŠ";"Škarniclova 1";"Bratislava - Staré Mesto";"81101";;;;;;;;;;;"21";"21";;;"2011/12";"2011/12";"2011/12";;;;;;;;;;;;;"395";;;;
"27";"Bratislavskı";"Bratislava I";"Samosprávny kraj";"Konzervatórium";"Slovenskı";"Konzervatórium";"Konzervatórium";"Tolstého 11";"Bratislava - Staré Mesto";"81106";"44";;;;"23";"12";;"7";;;;;;;;;;;;;;;;;;;;;;"631";;;;
"28";"Bratislavskı";"Bratislava I";"Súkromník";"Základná škola";"Anglickı";"Základná škola";"S-ZŠ Cambridge (Funiversity)";"Úprkova 3";"Bratislava - Staré Mesto";"81104";;;;;;;;;;;"11";"11";;;;;;;;;;;;;;;;;;"287";;;;
"29";"Bratislavskı";"Bratislava I";"Cirkev, cirkevné spoloèenstvo";"SOŠ elektrotechnická";"Slovenskı";"Stredná odborná škola";"SOŠ elektr. Frassatiho";"Vazovova 12";"Bratislava - Staré Mesto";"81107";"37";;;;"31";;;;;;;;;;;;;;;;;;;;;;;;;"226";;;;
"30";"Bratislavskı";"Bratislava I";"Samosprávny kraj";"SOŠ geodetická";"Slovenskı";"Stredná odborná škola";"SOŠ geodetická";"Vazovova 14";"Bratislava - Staré Mesto";"81107";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"31";"Bratislavskı";"Bratislava I";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Vazovova 4";"Bratislava - Staré Mesto";"81107";;;;;;;;;;;"29";"29";;;;;;;;;;;;;;;;;;"469";;;;
"32";"Bratislavskı";"Bratislava I";"Samosprávny kraj";"Gymnázium";"Slovenskı";"Gymnázium";"Gymnázium";"Vazovova 6";"Bratislava - Staré Mesto";"81107";"106";"27";;;;"93";;;"11";;;;;;"2014/15";"2014/15";"2014/15";;;;;;;;;;;;;"524";;;;
"33";"Bratislavskı";"Bratislava I";"Samosprávny kraj";"Stredná priemyselná škola";"Slovenskı";"Stredná odborná škola";"SPŠ elektrotechnická";"Zochova 9";"Bratislava - Staré Mesto";"81103";"83";"28";;;"47";"10";;"11";;;;;;;;;;;;;;;;;;;;;;"363";;;;
"34";"Bratislavskı";"Bratislava II";"Cirkev, cirkevné spoloèenstvo";"Základná škola";"Slovenskı";"Základná škola";"Spojená škola - ZŠ sv. Vincenta de Paul";"Bachova 4";"Bratislava - Ruinov";"82103";;;;;;;;;;;"19";"19";;;"2015/16";"2015/16";"2015/16";;;;;;;;;;;;;"436";;;;
"35";"Bratislavskı";"Bratislava II";"Cirkev, cirkevné spoloèenstvo";"Gymnázium";"Slovenskı";"Gymnázium";"Spojená škola - Gymnázium sv. Vincenta de Paul";"Bachova 4";"Bratislava - Ruinov";"82103";"8";"3";;;;"6";;;;;;;;;"2015/16";"2015/16";"2015/16";;;;;;;;;;;;;"191";;;;
"36";"Bratislavskı";"Bratislava II";"Obèianske zdruenia";"Gymnázium";"Slovenskı";"Gymnázium";"1. súkromné gymnázium";"Bajkalská 20";"Bratislava - Ruinov";"82108";"48";"23";;;;"48";;;;;;;;;;;;;;;;;;;;;;;;"306";;;;
"37";"Bratislavskı";"Bratislava II";"Obèianske zdruenia";"ZŠ pre intelektovo nadané deti";"Slovenskı";"Základná škola";"Súkr.ZŠ - nadané deti";"Bajkalská 20";"Bratislava - Ruinov";"82108";;;;;;;;;;;"24";"24";;;;;;;;;;;;;;;;;;"237";;;;
"39";"Bratislavskı";"Bratislava II";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Bieloruská 1";"Bratislava - Podunajské Biskupice";"82106";;;;;;;;;;;"9";"9";;;;;;;;;;;;;;;;;;"261";;;;
"40";"Bratislavskı";"Bratislava II";"Súkromník";"Stredná odborná škola";"Slovenskı";"Stredná odborná škola";"Súkromná SOŠ";"Bieloruská 1";"Bratislava - Podunajské Biskupice";"82106";;;;;;;;;;;;;;;"2015/16";"2015/16";"2015/16";;;;;;;;;;;;;"81";;;;
"41";"Bratislavskı";"Bratislava II";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Biskupická 21";"Bratislava - Podunajské Biskupice";"82106";;;;;;;;;;;"13";"12";;;"2016/17";"2016/17";"2016/17";;;;;;;;;;;;;"177";;;;
"42";"Bratislavskı";"Bratislava II";"Súkromník";"Hotelová akadémia";"Slovenskı";"Stredná odborná škola";"Súkr. hotelová akadémia";"Biskupická 21";"Bratislava - Podunajské Biskupice";"82106";"21";;;;"17";"2";;;;;;;;;"2010/11";"2010/11";"2010/11";;;;;;;;;;;;;"74";;;;
"43";"Bratislavskı";"Bratislava II";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Borodáèova 2";"Bratislava - Ruinov";"82103";;;;;;;;;;;"9";"9";;;;;;;;;;;;;;;;;;"199";;;;
"44";"Bratislavskı";"Bratislava II";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Drieòová 16";"Bratislava - Ruinov";"82103";;;;;;;;;;;"58";"58";;;"2011/12";"2011/12";"2011/12";;;;;;;;;;;;;"763";;;;
"45";"Bratislavskı";"Bratislava II";"Samosprávny kraj";"Stredná priemyselná škola";"Slovenskı";"Stredná odborná škola";"SPŠ stavebná";"Drieòová 35";"Bratislava - Ruinov";"82664";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"46";"Bratislavskı";"Bratislava II";"Súkromník";"Gymnázium";"Slovenskı a Anglickı bil.";"Gymnázium";"Súkromné gymnázium";"Dudváska 6";"Bratislava - Podunajské Biskupice";"82412";"23";"2";;;;;"10";;;;;;;;;;;;;;;;;;;;;;;"112";;;;
"47";"Bratislavskı";"Bratislava II";"Súkromník";"Základná škola";"Anglickı";"Základná škola";"Súkromná ZŠ Galileo";"Dudváska 6";"Bratislava - Podunajské Biskupice";"82412";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"395";;;;
"48";"Bratislavskı";"Bratislava II";"Súkromník";"Športové gymnázium";"Slovenskı";"Gymnázium";"Súkr. šport. gymnázium";"Dudváska 6";"Bratislava - Podunajské Biskupice";"82107";"15";;;;;"15";;;;;;;;;"2010/11";"2010/11";"2010/11";;;;;;;;;;;;;"78";;;;
"49";"Bratislavskı";"Bratislava II";"Súkromník";"Obchodná akadémia";"Slovenskı";"Stredná odborná škola";"Súkr. obchodná akadémia";"Dudváska 6";"Bratislava - Podunajské Biskupice";"82107";"4";;;;"3";;;;;;;;;;;;;;;;;;;;;;;;;"27";;;;
"50";"Bratislavskı";"Bratislava II";"Obec";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Základná umelecká škola";"Exnárova 6";"Bratislava - Ruinov";"82103";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1126";;;;
"51";"Bratislavskı";"Bratislava II";"Krajskı úrad, Okresnı úrad";"Gymnázium";"Slovenskı a Španielsky bil.";"Gymnázium";"Gymnázium F. G. Lorcu";"Hronská 3";"Bratislava - Podunajské Biskupice";"82107";"67";"8";;;;"53";;;;;;;;;"2010/11";"2010/11";"2010/11";;;;;;;;;;;;;"598";;;;
"52";"Bratislavskı";"Bratislava II";"Cirkev, cirkevné spoloèenstvo";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Základná umelecká škola";"Chlumeckého 10";"Bratislava - Ruinov";"82103";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1090";;;;
"53";"Bratislavskı";"Bratislava II";"Samosprávny kraj";"Gymnázium";"Slovenskı";"Gymnázium";"Gymnázium";"Ivana Horvátha 14";"Bratislava - Ruinov";"82103";"57";"16";;;;"49";;;"8";;;;;;"2014/15";"2014/15";"2014/15";;;;;;;;;;;;;"293";;;;
"54";"Bratislavskı";"Bratislava II";"Samosprávny kraj";"Stredná odborná škola";"Slovenskı";"Stredná odborná škola";"Stredná odborná škola";"Ivanská cesta 21";"Bratislava - Ruinov";"82375";"32";;;;"27";;;;;;;;;;;;;;;;;;;;;;;;;"409";;;;
"55";"Bratislavskı";"Bratislava II";"Súkromník";"SOŠ umeleckoremeselná";"Slovenskı";"Stredná odborná škola";"Súkr.str.umelecká škola";"Ivanská cesta 21";"Bratislava - Ruinov";"82104";"22";;;;"8";"13";;;;;;;;;"2012/13";"2012/13";"2012/13";;;;;;;;;;;;;"188";;;;
"57";"Bratislavskı";"Bratislava II";"Krajskı úrad, Okresnı úrad";"OU pre sluchovo postihnutıch i";"Slovenskı";"Špeciálna stredná škola";"OU pre iak. so SP";"Koce¾ova 26";"Bratislava - Ruinov";"82108";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"6";;;;
"58";"Bratislavskı";"Bratislava II";"Krajskı úrad, Okresnı úrad";"SOŠ pre sluchovo postihn.int.";"Slovenskı";"Špeciálna stredná škola";"SOŠ pre iak. so SP";"Koce¾ova 26";"Bratislava - Ruinov";"82108";"4";;;;;;;;;;;;;;;;;;;;;;;;;;;;;"60";;;;
"59";"Bratislavskı";"Bratislava II";"Krajskı úrad, Okresnı úrad";"Základná škola";"Slovenskı";"Základná škola";"Základná škola Košická";"Košická";"Bratislava - Ruinov";"82109";;;;;;;;;;;"20";"20";;;;;;;;;;;;;;;;;;"218";;;;
"62";"Bratislavskı";"Bratislava II";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Kulíškova 8";"Bratislava - Ruinov";"82108";;;;;;;;;;;"21";"20";;;;;;;;;;;;;;;;;;"322";;;;
"63";"Bratislavskı";"Bratislava II";"Samosprávny kraj";"Stredná priemyselná škola";"Slovenskı";"Stredná odborná škola";"SPŠ dopravná";"Kvaèalova 20";"Bratislava - Ruinov";"82108";"59";;;;"44";;;"7";;;;;;;"2014/15";"2014/15";;;;;;;;;;;;;;"244";;;;
"64";"Bratislavskı";"Bratislava II";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Medzilaborecká 11";"Bratislava - Ruinov";"82101";;;;;;;;;;;"15";"15";;;;;;;;;;;;;;;;;;"460";;;;
"65";"Bratislavskı";"Bratislava II";"Krajskı úrad, Okresnı úrad";"Gymnázium";"Slovenskı a Francúzsky bil.";"Gymnázium";"Spojená škola-Gymnázium";"Metodova 2";"Bratislava - Ruinov";"82108";"157";"35";;;;"133";;;"2";;;;;;"2015/16";"2015/16";"2015/16";;;;;;;;;;;;;"1024";;;;
"66";"Bratislavskı";"Bratislava II";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Mierová 46";"Bratislava - Ruinov";"82105";;;;;;;;;;;"34";"34";;;"2007/08";"2007/08";"2007/08";;;;;;;;;;;;;"523";;;;
"67";"Bratislavskı";"Bratislava II";"Súkromník";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Súkromná ZUŠ";"Mierová 46";"Bratislava - Ruinov";"82105";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"150";;;;
"68";"Bratislavskı";"Bratislava II";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Nevädzová 2";"Bratislava - Ruinov";"82101";;;;;;;;;;;"48";"47";;;"2012/13";"2012/13";"2012/13";;;;;;;;;;;;;"698";;;;
"69";"Bratislavskı";"Bratislava II";"Samosprávny kraj";"Obchodná akadémia";"Slovenskı";"Stredná odborná škola";"Obchodná akadémia";"Nevädzová 3";"Bratislava - Ruinov";"82007";"77";;;;"61";"6";;"5";;;;;;;;;;;;;;;;;;;;;;"347";;;;
"70";"Bratislavskı";"Bratislava II";"Krajskı úrad, Okresnı úrad";"Špeciálna základná škola";"Slovenskı";"Špeciálna základná škola";"Špeciálna ZŠ";"Nevädzová 3";"Bratislava - Ruinov";"82101";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"80";;;;
"71";"Bratislavskı";"Bratislava II";"Krajskı úrad, Okresnı úrad";"Základná škola";"Slovenskı";"Základná škola";"Základná škola Košická (PYP)";"Novohradská 3";"Bratislava - Ruinov";"82109";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"109";;;;
"72";"Bratislavskı";"Bratislava II";"Krajskı úrad, Okresnı úrad";"Gymnázium";"Slovenskı a Anglickı bil.";"Gymnázium";"Gymnázium Jura Hronca";"Novohradská 3";"Bratislava - Ruinov";"82109";"158";"115";;;;"98";"72";;;;;;;;;;;;;;;;;;;;;;;"932";;;;
"73";"Bratislavskı";"Bratislava II";"Samosprávny kraj";"Športové gymnázium";"Slovenskı";"Športové gymnázium";"Športové gymnázium";"Ostredková 10";"Bratislava - Ruinov";"82102";"53";"7";;;;"48";;;"3";;;;;;"2007/08";"2007/08";"2007/08";;;;;;;;;;;;;"341";;;;
"74";"Bratislavskı";"Bratislava II";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Ostredková 14";"Bratislava - Ruinov";"82102";;;;;;;;;;;"48";"48";;;;;;;;;;;;;;;;;;"737";;;;
"75";"Bratislavskı";"Bratislava II";"Samosprávny kraj";"SOŠ drevárska";"Slovenskı";"Stredná odborná škola";"SOŠ drevárska";"Pavlovièova 3";"Bratislava - Ruinov";"82104";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"76";"Bratislavskı";"Bratislava II";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Podzáhradná 51";"Bratislava - Podunajské Biskupice";"82107";;;;;;;;;;;"36";"36";;;;;;;;;;;;;;;;;;"603";;;;
"77";"Bratislavskı";"Bratislava II";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Rajèianska 3";"Bratislava - Vrakuòa";"82107";;;;;;;;;;;"21";"21";;;"2009/10";"2009/10";"2009/10";;;;;;;;;;;;;"532";;;;
"78";"Bratislavskı";"Bratislava II";"Súkromník";"Stredná odborná škola";"Slovenskı";"Stredná odborná škola";"SOŠ";"Ruinovská 1";"Bratislava - Ruinov";"82601";"39";;;;"29";"6";;"4";;;;;;;"2007/08";"2007/08";"2007/08";;;;;;;;;;;;;"340";;;;
"79";"Bratislavskı";"Bratislava II";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Ruová dolina 29";"Bratislava - Ruinov";"82109";;;;;;;;;;;"17";"17";;;"2015/16";"2015/16";"2015/16";;;;;;;;;;;;;"277";;;;
"80";"Bratislavskı";"Bratislava II";"Obèianske zdruenia";"ZŠ-roè.II. stupeò";"Slovenskı";"Základná škola";"Súkromná základná škola";"Ruová dolina 29";"Bratislava - Ruinov";"82109";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"98";;;;
"81";"Bratislavskı";"Bratislava II";"Súkromník";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Súkromná ZUŠ";"Ruová dolina 29";"Bratislava - Ruinov";"82109";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"548";;;;
"82";"Bratislavskı";"Bratislava II";"Obèianske zdruenia";"Stredná pedagogická škola";"Slovenskı";"Stredná odborná škola";"Súkr. ped. a soc. akad";"Ruová Dolina 29";"Bratislava - Ruinov";"82109";"16";;;;"13";;;;;;;;;;;;;;;;;;;;;;;;;"30";;;;
"83";"Bratislavskı";"Bratislava II";"Samosprávny kraj";"SOŠ obchodu a sluieb";"Slovenskı";"Stredná odborná škola";"SOŠ obch.a sluieb";"Sklenárova 1";"Bratislava - Ruinov";"82109";"36";;;;"30";;;"4";;;;;;;"2012/13";"2012/13";"2012/13";;;;;;;;;;;;;"204";;;;
"84";"Bratislavskı";"Bratislava II";"Obec";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Základná umelecká škola";"Sklenárova 5";"Bratislava - Ruinov";"82109";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"851";;;;
"85";"Bratislavskı";"Bratislava II";"Samosprávny kraj";"Stredná umelecká škola";"Slovenskı";"Stredná odborná škola";"SUŠ scénic.vytvarníctva";"Sklenárova 7";"Bratislava - Ruinov";"82489";"76";;;;"54";"9";;"4";;;;;;;;;;;;;;;;;;;;;;"327";;;;
"86";"Bratislavskı";"Bratislava II";"Samosprávny kraj";"SOŠ dopravná";"Slovenskı";"Stredná odborná škola";"SOŠ dopravná";"Sklenárova 9";"Bratislava - Ruinov";"82109";"12";;;;"7";"2";;;;;;;;;"2015/16";"2015/16";"2015/16";;;;;;;;;;;;;"198";;;;
"89";"Bratislavskı";"Bratislava II";"Samosprávny kraj";"Stredná odborná škola";"Slovenskı";"Stredná odborná škola";"Stred. odborná škola";"Svätoplukova 2";"Bratislava - Ruinov";"82108";"39";;;;"33";;;"5";;;;;;;;;;;;;;;;;;;;;;"418";;;;
"90";"Bratislavskı";"Bratislava II";"Samosprávny kraj";"Gymnázium";"Slovenskı";"Gymnázium";"Spojená škola-Gymnázium";"Tokajícka 24";"Bratislava - Ruinov";"82103";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"279";;;;
"91";"Bratislavskı";"Bratislava III";"Samosprávny kraj";"Gymnázium";"Slovenskı";"Gymnázium";"Gymnázium L.Novomeského";"Tomášikova 2";"Bratislava - Nové Mesto";"82729";"84";"33";;;;"83";;;;;;;;;;;;;;;;;;;;;;;;"629";;;;
"92";"Bratislavskı";"Bratislava II";"Obec";"Základná škola";"Maïarskı";"Základná škola";"Základná škola s MŠ";"Vetvárska 7";"Bratislava - Podunajské Biskupice";"82106";;;;;;;;;;;;"6";"6";"6";;;;;;;;;;;;;;;;"93";;;;
"93";"Bratislavskı";"Bratislava II";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Vrútocká 58";"Bratislava - Ruinov";"82104";;;;;;;;;;;"29";"29";;;"2007/08";"2007/08";"2007/08";;;;;;;;;;;;;"353";;;;
"94";"Bratislavskı";"Bratislava II";"Samosprávny kraj";"Stredná zdravotnícka škola";"Slovenskı";"Stredná odborná škola";"SZŠ";"Záhradnícka 44";"Bratislava - Ruinov";"82108";"117";;;;"90";"4";;"19";;;;;;;"2006/07";"2006/07";"2006/07";;;;;;;;;;;;;"575";;;;
"95";"Bratislavskı";"Bratislava II";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"eleznièná 14";"Bratislava - Vrakuòa";"82107";;;;;;;;;;;"35";"35";;;"2011/12";"2011/12";"2011/12";;;;;;;;;;;;;"594";;;;
"96";"Bratislavskı";"Bratislava II";"Súkromník";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Súkromná ZUŠ";"eleznièná 14";"Bratislava - Vrakuòa";"82107";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"260";;;;
"97";"Bratislavskı";"Bratislava II";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"itavská 1";"Bratislava - Vrakuòa";"82107";;;;;;;;;;;"35";"35";;;"2016/17";"2016/17";"2016/17";;;;;;;;;;;;;"365";;;;
"98";"Bratislavskı";"Bratislava II";"Súkromník";"Gymnázium";"Slovenskı";"Gymnázium";"Súkromné gymnázium";"itavská 1";"Bratislava - Vrakuòa";"82107";"32";"2";;;;"28";;;;;;;;;"2012/13";"2012/13";"2012/13";;;;;;;;;;;;;"188";;;;
"99";"Bratislavskı";"Bratislava III";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola s MŠ";"Cádrova 23";"Bratislava - Nové Mesto";"83101";;;;;;;;;;;"8";"8";;;;;;;;;;;;;;;;;;"306";;;;
"100";"Bratislavskı";"Bratislava III";"Cirkev, cirkevné spoloèenstvo";"Gymnázium";"Slovenskı";"Gymnázium";"Gymnázium škol. bratov";"Èachtická 14";"Bratislava - Raèa";"83106";"33";"10";;;;"28";;;"2";;;;;;"2015/16";"2015/16";"2015/16";;;;;;;;;;;;;"224";;;;
"101";"Bratislavskı";"Bratislava III";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola s MŠ";"Èeská 10";"Bratislava - Nové Mesto";"83103";;;;;;;;;;;"20";"20";;;"2007/08";"2007/08";"2007/08";;;;;;;;;;;;;"284";;;;
"102";"Bratislavskı";"Bratislava III";"Súkromník";"Gymnázium";"Slovenskı a Anglickı bil.";"Gymnázium";"Súkromné gymnázium";"Èeská 10";"Bratislava - Nové Mesto";"83103";"31";"2";;;;;"31";;;;;;;;"2010/11";"2010/11";"2010/11";;;;;;;;;;;;;"338";;;;
